The photoresistor's resistance value is measured at multiple distances from the source,
and at multiple beta angle positions at each distance. 

Distances Tested (m):
[0.25, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]

Beta Angles Tested (deg):
[0, 15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165, 180]
Beta Angles Tested (rad):
[0, 0.262, 0.524, 0.785, 1.047, 1.309, 1.571, 1.833, 2.094, 2.356, 2.618, 2.880, 3.142]


Data is saved in the following format:
Distance to Source (m),     Beta Angle (deg),     Photoresistor Resistance (ohms),
0.25, 0, 4000
0.25, 15, 4232
0.25, 30, 5204
0.25, 45, 5921
0.25, 60, 7520
0.25, 75, 10923
0.25, 90, 30360
0.25, 105, 55935
0.25, 120, 67188
0.25, 135, 112200
0.25, 150, 168465
0.25, 165, 337260
0.25, 180, 337260
0.5, 0, 9600
0.5, 15, 10923
0.5, 30, 11311
0.5, 45, 12173
0.5, 60, 17437
0.5, 75, 27802
0.5, 90, 55935
0.5, 105, 168465
0.5, 120, 337260
0.5, 135, 337260
0.5, 150, 337260
0.5, 165, 337260
0.5, 180, 337260
1, 0, 27802
1, 15, 30360
1, 30, 33429
1, 45, 37180
1, 60, 55935
1, 75, 84067
1, 90, 168465
1, 105, 337260
1, 120, 337260
1, 135, 337260
1, 150, 337260
1, 165, 337260
1, 180, 337260
1.5, 0, 67188
1.5, 15, 67188
1.5, 30, 84067
1.5, 45, 112200
1.5, 60, 168465
1.5, 75, 168465
1.5, 90, 337260
1.5, 105, 337260
1.5, 120, 337260
1.5, 135, 337260
1.5, 150, 337260
1.5, 165, 337260
1.5, 180, 337260
2, 0, 112200
2, 15, 112200
2, 30, 168465
2, 45, 168465
2, 60, 337260
2, 75, 337260
2, 90, 337260
2, 105, 337260
2, 120, 337260
2, 135, 337260
2, 150, 337260
2, 165, 337260
2, 180, 337260
2.5, 0, 168465
2.5, 15, 337260
2.5, 30, 337260
2.5, 45, 337260
2.5, 60, 337260
2.5, 75, 337260
2.5, 90, 337260
2.5, 105, 337260
2.5, 120, 337260
2.5, 135, 337260
2.5, 150, 337260
2.5, 165, 337260
2.5, 180, 337260
3, 0, 337260
3, 15, 337260
3, 30, 337260
3, 45, 337260
3, 60, 337260
3, 75, 337260
3, 90, 337260
3, 105, 337260
3, 120, 337260
3, 135, 337260
3, 150, 337260
3, 165, 337260
3, 180, 337260
